probThreshold,proxy_race,proxy_age,proxy_gender,proxy_race_status,proxy_age_status,proxy_gender_status
80.0,White,62+,Unknown,unprotected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,62+,Unknown,protected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Hispanic,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,62+,female,unprotected,protected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,62+,Unknown,protected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,female,,protected,protected
80.0,White,62+,male,unprotected,protected,unprotected
80.0,Hispanic,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,62+,male,,protected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,AA,<62,female,protected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,62+,female,unprotected,protected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,62+,female,,protected,protected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,female,,unprotected,protected
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,62+,male,unprotected,protected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,AA,<62,female,protected,unprotected,protected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,female,,protected,protected
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,AA,<62,female,protected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,62+,Unknown,protected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,male,unprotected,protected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,AIAN,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,<62,male,protected,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,AA,62+,Unknown,protected,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,62+,Unknown,protected,protected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,female,unprotected,protected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,62+,male,unprotected,protected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,White,62+,female,unprotected,protected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,AA,62+,Unknown,protected,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,male,,protected,unprotected
80.0,Unknown,<62,female,,unprotected,protected
80.0,White,62+,Unknown,unprotected,protected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,Unknown,62+,Unknown,,protected,
80.0,White,<62,female,unprotected,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,62+,male,unprotected,protected,unprotected
80.0,White,<62,male,unprotected,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,female,,unprotected,protected
80.0,Unknown,<62,Unknown,,unprotected,
80.0,AA,<62,Unknown,protected,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,male,,unprotected,unprotected
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,Unknown,<62,Unknown,,unprotected,
80.0,White,<62,Unknown,unprotected,unprotected,
80.0,Unknown,62+,Unknown,,protected,
